Kepolisian Daerah,2015,2016,2017
ACEH,164,193,171
SUMATERA UTARA,256,266,280
SUMATERA BARAT,317,287,248
RIAU,155,134,103
JAMBI,316,277,271
SUMATERA SELATAN,259,253,190
BENGKULU,242,315,252
LAMPUNG,115,129,134
KEP. BANGKA BELITUNG,140,153,135
KEP. RIAU,255,248,176
METRO JAYA,181,174,138
JAWA BARAT,73,76,65
JAWA TENGAH,48,42,35
DI YOGYAKARTA,266,227,193
JAWA TIMUR,92,74,88
BANTEN,101,92,55
BALI,123,115,85
NUSA TENGGARA BARAT,126,161,164
NUSA TENGGARA TIMUR,133,153,127
KALIMANTAN BARAT,141,153,122
KALIMANTAN TENGAH,110,149,104
KALIMANTAN SELATAN,174,181,160
KALIMANTAN TIMUR,221,219,214
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,328,411,324
SULAWESI TENGAH,317,334,345
SULAWESI SELATAN,166,154,256
SULAWESI TENGGARA,149,150,110
GORONTALO,302,332,265
SULAWESI BARAT,-,-,146
MALUKU,111,152,177
MALUKU UTARA,71,94,65
PAPUA BARAT,160,257,146
PAPUA,233,358,208
INDONESIA,140,140,129
