Continent;Region;Country;Criminality
Asia;Western Asia;Turkey;6,89
Africa;West Africa;Cabo Verde;4,04
Africa;Southern Africa;South Africa;6,63
Americas;South America;Colombia;7,66
Americas;South America;Peru;6,35
Asia;Western Asia;Iraq;7,05
Americas;South America;Suriname;4,90
Americas;South America;Venezuela;6,64
Africa;Southern Africa;Mauritius;4,51
Africa;Southern Africa;Botswana;3,71
Asia;Western Asia;Iran;7,10
Americas;South America;Guyana;5,10
Africa;West Africa;Senegal;4,81
Americas;South America;Brazil;6,50
Asia;South-Eastern Asia;Cambodia;5,83
Africa;West Africa;Nigeria;7,15
Asia;South-Eastern Asia;Philippines;6,84
Africa;Central Africa;Rwanda;3,68
Africa;West Africa;Ghana;6,01
Africa;East Africa;Ethiopia;4,79
Americas;South America;Bolivia;4,30
Africa;East Africa;Kenya;6,95
Asia;Southern Asia;Afghanistan;7,08
Asia;South-Eastern Asia;Indonesia;6,38
Africa;West Africa;Gambia;4,83
Africa;Southern Africa;Namibia;4,33
Americas;Central America;Mexico;7,56
Africa;Central Africa;Sao Tome and Principe;1,78
Africa;North Africa;Tunisia;3,79
Africa;North Africa;Algeria;4,51
Africa;North Africa;Morocco;4,79
Africa;Southern Africa;Seychelles;3,68
Africa;East Africa;Djibouti;3,99
Asia;Southern Asia;India;5,53
Africa;Central Africa;Angola;5,29
Asia;Western Asia;Saudi Arabia;6,01
Africa;West Africa;Côte d'Ivoire;6,15
Europe;Western Europe;Switzerland;4,34
Asia;Western Asia;Yemen;6,13
Asia;Central Asia and the Caucasus;Tajikistan;5,61
Africa;Southern Africa;Zambia;4,93
Asia;Western Asia;Syria;6,84
Asia;Central Asia and the Caucasus;Turkmenistan;4,61
Europe;Western Europe;Ireland;4,90
Asia;Eastern Asia;Korea, DPR;4,78
Africa;Southern Africa;Malawi;3,83
Asia;South-Eastern Asia;Myanmar;7,59
Asia;Southern Asia;Nepal;6,16
Africa;East Africa;Tanzania;6,15
Americas;South America;Ecuador;6,25
Africa;North Africa;Egypt;5,16
Americas;Central America;Costa Rica;4,99
Africa;West Africa;Togo;5,33
Asia;Western Asia;Bahrain;4,83
Africa;East Africa;Uganda;6,14
Asia;Central Asia and the Caucasus;Uzbekistan;4,96
Asia;South-Eastern Asia;Vietnam;6,28
Asia;South-Eastern Asia;Thailand;5,76
Americas;Central America;Panama;6,68
Asia;Western Asia;United Arab Emirates;5,75
Americas;Central America;Nicaragua;6,06
Asia;Western Asia;Kuwait;5,14
